City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,patterson,37.4716,-121.1297,26.49,51,15,4.35,US,2023-04-23
240,aioun,16.6614,-9.6149,31.28,12,3,4.74,MR,2023-04-23
241,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,56,75,1.0,RU,2023-04-23
242,bridgewater,44.3835,-64.5155,7.84,82,94,2.57,CA,2023-04-23
243,samborondon,-1.95,-79.7333,28.18,86,100,1.97,EC,2023-04-23
244,saldanha,-33.0117,17.9442,16.03,96,100,3.53,ZA,2023-04-23
245,beau vallon,-20.4189,57.6953,25.13,88,40,2.06,MU,2023-04-23
246,metlili chaamba,32.2667,3.6333,23.52,20,20,1.54,DZ,2023-04-23
247,pangoa,-12.1167,-73.0,20.81,97,73,0.64,PE,2023-04-23
248,manay,7.215,126.5397,27.5,75,53,2.56,PH,2023-04-23
249,greymouth,-42.4667,171.2,13.07,57,12,3.27,NZ,2023-04-23
250,tara,56.8944,74.371,7.31,82,99,3.17,RU,2023-04-23
251,north platte,41.1239,-100.7654,15.06,22,20,1.79,US,2023-04-23
252,ebon,4.582,168.6964,28.38,77,81,7.62,MH,2023-04-23
253,cabo san lucas,22.8909,-109.9124,34.17,21,20,7.2,MX,2023-04-23
254,vanimo,-2.6741,141.3028,27.66,76,100,1.9,PG,2023-04-23
255,vila velha,-20.3297,-40.2925,22.97,88,75,1.54,BR,2023-04-23
256,kolokani,13.5728,-8.0339,30.0,16,2,3.58,ML,2023-04-23
257,kyzyl-mazhalyk,51.1333,90.6,1.08,55,53,0.27,RU,2023-04-23
258,whitehorse,60.7161,-135.0538,6.43,65,100,8.75,CA,2023-04-23
259,arawa,-6.2132,155.5367,30.04,70,42,1.57,PG,2023-04-23
260,lompoc,34.6391,-120.4579,23.25,79,100,10.29,US,2023-04-23
261,garoowe,8.4054,48.4845,24.82,76,28,5.11,SO,2023-04-23
262,acarau,-2.8856,-40.12,25.73,84,98,4.94,BR,2023-04-23
263,tabou,4.423,-7.3528,26.6,86,92,2.06,CI,2023-04-23
264,utrik,11.2278,169.8474,27.02,81,63,9.97,MH,2023-04-23
265,castelo do piaui,-5.3222,-41.5525,23.98,68,96,2.15,BR,2023-04-23
266,qianjiang,30.4151,112.8859,7.71,91,100,6.16,CN,2023-04-23
267,georgetown,5.4112,100.3354,25.96,93,20,1.54,MY,2023-04-23
268,hinton,53.4001,-117.5857,9.88,72,100,2.25,CA,2023-04-23
269,ghanzi,-21.5667,21.7833,22.11,33,23,3.94,BW,2023-04-23
270,picayune,30.5255,-89.6795,23.23,52,67,2.0,US,2023-04-23
271,kapa'a,22.0752,-159.319,26.99,76,20,2.57,US,2023-04-23
272,ambon,-3.6954,128.1814,25.08,94,20,2.06,ID,2023-04-23
273,talnakh,69.4865,88.3972,-0.44,88,87,3.34,RU,2023-04-23
274,tobelo,1.7284,128.0095,27.41,77,18,0.88,ID,2023-04-23
275,kyaikto,17.3,97.0167,27.28,82,40,2.09,MM,2023-04-23
276,wanganui,-39.9333,175.05,13.66,67,91,7.6,NZ,2023-04-23
277,rawah,34.4816,41.9093,25.87,30,99,2.37,IQ,2023-04-23
278,ningbo,29.8782,121.5495,13.99,100,100,2.0,CN,2023-04-23
279,robat karim,35.4846,51.0829,20.92,30,75,5.14,IR,2023-04-23
280,karymskoye,51.6167,114.35,-2.0,46,54,3.59,RU,2023-04-23
281,nola,40.922,14.5329,15.91,68,8,1.08,IT,2023-04-23
282,ibarreta,-25.2144,-59.8585,19.76,61,0,2.15,AR,2023-04-23
283,fort mcmurray,56.7268,-111.381,12.77,26,0,7.2,CA,2023-04-23
284,vorgashor,67.5833,63.95,-10.44,88,100,5.29,RU,2023-04-23
285,alem paraiba,-21.8878,-42.7044,20.19,85,58,1.11,BR,2023-04-23
286,pocone,-16.2567,-56.6228,24.06,82,39,1.97,BR,2023-04-23
287,rikaze,29.25,88.8833,2.53,30,100,1.55,CN,2023-04-23
288,yaren,-0.5472,166.916,28.77,76,97,5.41,NR,2023-04-23
289,murghob,38.1702,73.9667,-7.29,47,5,2.22,TJ,2023-04-23
290,aykhal,66.0,111.5,-8.08,97,100,0.5,RU,2023-04-23
291,labrador city,52.9463,-66.9114,8.95,46,40,4.12,CA,2023-04-23
292,balabac,7.9868,117.0645,28.01,80,73,4.52,PH,2023-04-23
293,barkly west,-28.5354,24.5215,16.33,30,81,0.47,ZA,2023-04-23
294,segovia,41.1667,-4.0,9.21,88,94,2.96,ES,2023-04-23
295,roswell,34.0232,-84.3616,20.0,50,0,4.63,US,2023-04-23
296,rexburg,43.826,-111.7897,11.99,32,75,4.12,US,2023-04-23
297,ostersund,63.1792,14.6357,-0.77,100,100,1.03,SE,2023-04-23
298,pemangkat,1.1667,108.9667,25.84,86,97,1.75,ID,2023-04-23
299,muncar,-8.4333,114.3333,25.23,90,46,0.84,ID,2023-04-23
300,enewetak,11.3474,162.3373,27.14,84,87,8.75,MH,2023-04-23
301,kisanga,-7.4362,37.7034,22.29,98,100,0.78,TZ,2023-04-23
302,el granada,37.5027,-122.4694,23.84,82,100,12.35,US,2023-04-23
303,kpandae,8.4689,-0.0113,26.59,67,100,2.18,GH,2023-04-23
304,albertina,-22.2008,-46.6158,14.96,79,2,2.18,BR,2023-04-23
